"AnnualCrops","BuiltUp","ConsolidatedBarren","NaturalGrassland","NaturalWoodedLand","PermanentCrops","PlantedForest","Shrubs","UnconsolidatedBarren","Waterbodies","Wetlands","SiteID","MajorityClass1"
0.0124347177319075,1.81546878885849,72.5068390947526,0.111912459587167,0,0,0,23.92439691619,1.62894802287988,0,0,"s2lam001_230713","ConsolidatedBarren"
0.0373087924387514,0.0746175848775028,75.8985200845666,0.223852754632508,0,0.0124362641462505,0,20.8307424449695,2.92252207436886,0,0,"s2lam001_230725","ConsolidatedBarren"
0.049800796812749,0.709661354581673,67.7290836653386,0.921314741035857,0,0,0,30.0423306772908,0.398406374501992,0,0.149402390438247,"s2lam001_230802","ConsolidatedBarren"
0.0492428905576757,0.627846854610366,0.627846854610366,19.1185522590176,27.8714760556445,0.381632401821987,0.800196971562231,49.513726455743,0,0,1.00947925643235,"s2lam001_230809","Shrubs"
1.47991543340381,2.35045392364134,1.70376818803631,25.7555030468847,0,0.198980226340007,0,65.5515483148862,2.64892426315135,0,0.310906603656262,"s2lam001_230815","Shrubs"
0,0,17.3338275265629,1.69261181121819,0,0,0,80.9612058314801,0,0,0.0123548307388189,"s2lam001_231001","Shrubs"
0.0247985120892746,38.3632982021079,7.63794172349659,22.975821450713,0.260384376937384,0.942343459392436,0.037197768133912,22.5046497210167,2.34345939243645,0,4.91010539367638,"s2lam001_231013","BuiltUp"
1.38665346044323,14.6712888448681,0.50761421319797,25.306425653089,0.0495233378729726,0.495233378729726,0,36.3996533366349,20.7874210721803,0,0.396186702983781,"s2lam001_231025","Shrubs"
28.9447609611097,0,8.28585583353976,12.5959871191479,0.0619271736437949,0.012385434728759,0,50.0743126083726,0.024770869457518,0,0,"s2lam001_231107","Shrubs"
0.370416100753179,1.23472033584393,0,27.5589578960365,48.0306210643289,4.54377083590567,9.45795777256451,8.30966786022966,0.0864304235090752,0,0.407457710828497,"s2lam001_231117","NaturalWoodedLand"
11.7618409838062,8.45001826372824,7.82905150371362,17.3018385486424,0.182637282357239,0.243516376476318,0,48.1188359917204,0,0,6.11226104955558,"s2lam002_230807","Shrubs"
0,0.40720631786772,24.5064165844028,0.493583415597236,2.82576505429418,0,0.148075024679171,70.0271470878578,0,0,1.59180651530109,"s2lam002_231011","Shrubs"
0.061667488899852,0.91267883571781,16.3788850518007,0.826344351258017,32.3877651702023,0.863344844597928,7.38776517020227,36.7784903798717,0.283670448939319,0,4.11938825851011,"s2lam002_231103","Shrubs"
0,4.40778133464664,59.8621029303127,0.72642206353115,1.09578921447919,0,0,31.7286382664368,0,0,2.17926619059345,"s2lam002_231115","ConsolidatedBarren"
1.15309126594701,11.4082433758587,0,0.417075564278705,6.89401373895976,1.11629048086359,0,32.8508341511286,0,0,46.1604514229637,"s2lam002_231127","Wetlands"
0,2.67900633219679,21.6147101802241,7.29420360448125,0,0,0.0121773015099854,36.7145640526059,0.0365319045299562,0,31.648806624452,"s2lam003_230705","Shrubs"
0,0.678175092478422,3.21824907521578,0.0739827373612824,31.7139334155364,0,0.135635018495684,59.9630086313194,0.0123304562268804,0,4.20468557336621,"s2lam003_230710","Shrubs"
